fulldate,month,dayofmonth,bankholiday,schoolholiday,weekend,mean,max
1.01.2019,1,1,True,False,False,10.77430556,31
2.01.2019,1,2,False,False,False,24.26829268,58
3.01.2019,1,3,False,False,False,30.13194444,69
4.01.2019,1,4,False,False,False,28.05574913,60
5.01.2019,1,5,False,False,True,25.31468531,51
6.01.2019,1,6,False,False,True,10.90940767,24
7.01.2019,1,7,False,False,False,28.52430556,67
8.01.2019,1,8,False,False,False,28.80208333,58
9.01.2019,1,9,False,False,False,26.79790941,58
10.01.2019,1,10,False,False,False,28.16376307,60
11.01.2019,1,11,False,False,False,36.73867596,74
12.01.2019,1,12,False,False,True,28.23776224,54
13.01.2019,1,13,False,False,True,12.26480836,29
14.01.2019,1,14,False,False,False,21.38888889,56
15.01.2019,1,15,False,False,False,33.91637631,76
16.01.2019,1,16,False,False,False,25.92307692,63
17.01.2019,1,17,False,False,False,26.93379791,65
18.01.2019,1,18,False,False,False,27.03125,67
19.01.2019,1,19,False,True,True,22.40069686,53
20.01.2019,1,20,False,True,True,17.94076655,44
21.01.2019,1,21,False,True,False,26.97916667,67
22.01.2019,1,22,False,True,False,26.07665505,62
23.01.2019,1,23,False,True,False,32.70383275,78
24.01.2019,1,24,False,True,False,13.04545455,29
25.01.2019,1,25,False,True,False,30.41463415,71
26.01.2019,1,26,False,True,True,24.57839721,58
27.01.2019,1,27,False,True,True,20.00347222,45
28.01.2019,1,28,False,True,False,24.67944251,65
29.01.2019,1,29,False,True,False,27.48611111,67
30.01.2019,1,30,False,True,False,27.04545455,67
31.01.2019,1,31,False,True,False,34.14285714,81
1.02.2019,2,1,False,True,False,32.99305556,69
2.02.2019,2,2,False,True,True,24.24041812,53
3.02.2019,2,3,False,True,True,16.03472222,42
4.02.2019,2,4,False,False,False,21.92334495,54
5.02.2019,2,5,False,False,False,25.40972222,60
6.02.2019,2,6,False,False,False,29.02787456,60
7.02.2019,2,7,False,False,False,34.28819444,76
8.02.2019,2,8,False,False,False,32.27464789,63
9.02.2019,2,9,False,False,True,22.85714286,45
10.02.2019,2,10,False,False,True,16.36458333,42
11.02.2019,2,11,False,False,False,23.79151943,58
12.02.2019,2,12,False,False,False,29.11458333,72
13.02.2019,2,13,False,False,False,36.08362369,71
14.02.2019,2,14,False,False,False,28.35069444,62
15.02.2019,2,15,False,False,False,32.29965157,71
16.02.2019,2,16,False,False,True,23.34736842,51
17.02.2019,2,17,False,False,True,14.30388693,36
18.02.2019,2,18,False,False,False,23.27777778,60
19.02.2019,2,19,False,False,False,27.66083916,63
20.02.2019,2,20,False,False,False,27.65156794,63
21.02.2019,2,21,False,False,False,27.625,63
22.02.2019,2,22,False,False,False,26.42857143,63
23.02.2019,2,23,False,False,True,34.41114983,54
24.02.2019,2,24,False,False,True,23.40972222,33
25.02.2019,2,25,False,False,False,26.50699301,51
26.02.2019,2,26,False,False,False,26.23263889,58
27.02.2019,2,27,False,False,False,33.56097561,72
28.02.2019,2,28,False,False,False,25.20833333,56
1.03.2019,3,1,False,False,False,27.37762238,69
2.03.2019,3,2,False,False,True,21.30208333,53
3.03.2019,3,3,False,False,True,16.39298246,42
4.03.2019,3,4,False,False,False,23.66783217,58
5.03.2019,3,5,False,False,False,27.45454545,62
6.03.2019,3,6,False,False,False,29.39721254,60
7.03.2019,3,7,False,False,False,30.21254355,69
8.03.2019,3,8,False,False,False,30.63028169,69
9.03.2019,3,9,False,False,True,23.32986111,53
10.03.2019,3,10,False,False,True,19.79513889,44
11.03.2019,3,11,False,False,False,23.81533101,58
12.03.2019,3,12,False,False,False,34.41403509,76
13.03.2019,3,13,False,False,False,30.95744681,60
14.03.2019,3,14,False,False,False,25.08741259,62
15.03.2019,3,15,False,False,False,28.28975265,63
16.03.2019,3,16,False,False,True,24.74642857,51
17.03.2019,3,17,False,False,True,20.39372822,47
18.03.2019,3,18,False,False,False,23.97887324,54
19.03.2019,3,19,False,False,False,25.70652174,58
20.03.2019,3,20,False,False,False,26.66433566,60
21.03.2019,3,21,False,False,False,26.39721254,62
22.03.2019,3,22,False,False,False,21.47619048,47
23.03.2019,3,23,False,False,True,,
24.03.2019,3,24,False,False,True,,
25.03.2019,3,25,False,False,False,,
26.03.2019,3,26,False,False,False,,
27.03.2019,3,27,False,False,False,29.88666667,53
28.03.2019,3,28,False,False,False,26.52797203,63
29.03.2019,3,29,False,False,False,28.98954704,62
30.03.2019,3,30,False,False,True,18.86713287,42
31.03.2019,3,31,False,False,True,4.68989547,18
1.04.2019,4,1,False,False,False,22.22996516,60
2.04.2019,4,2,False,False,False,24.41114983,62
3.04.2019,4,3,False,False,False,25.53496503,56
4.04.2019,4,4,False,False,False,26.84320557,58
5.04.2019,4,5,False,False,False,30.65263158,65
6.04.2019,4,6,False,False,True,28.05244755,51
7.04.2019,4,7,False,False,True,24.73776224,49
8.04.2019,4,8,False,False,False,25.06271777,54
9.04.2019,4,9,False,False,False,26.24912281,67
10.04.2019,4,10,False,False,False,27.84965035,54
11.04.2019,4,11,False,False,False,26.24738676,54
12.04.2019,4,12,False,False,False,27.72377622,63
13.04.2019,4,13,False,False,True,28.11538462,51
14.04.2019,4,14,False,False,True,21.271777,42
15.04.2019,4,15,False,False,False,21.89189189,49
16.04.2019,4,16,False,False,False,34.25433526,54
17.04.2019,4,17,False,False,False,25.32404181,60
18.04.2019,4,18,False,False,False,30.20701754,65
19.04.2019,4,19,False,False,False,31.69230769,71
20.04.2019,4,20,False,False,True,28.50522648,54
21.04.2019,4,21,False,False,True,22.27972028,56
22.04.2019,4,22,False,False,False,21.61188811,53
23.04.2019,4,23,True,False,False,15.93728223,38
24.04.2019,4,24,False,False,False,26.11149826,56
25.04.2019,4,25,False,False,False,26.87412587,60
26.04.2019,4,26,False,False,False,28.95104895,63
27.04.2019,4,27,False,False,True,25.58391608,53
28.04.2019,4,28,False,False,True,21.56445993,60
29.04.2019,4,29,False,False,False,24.95104895,56
30.04.2019,4,30,False,False,False,31.69337979,71
1.05.2019,5,1,True,False,False,14.1641791,31
2.05.2019,5,2,False,False,False,31.33566434,65
3.05.2019,5,3,False,False,False,30.66783217,67
4.05.2019,5,4,False,False,True,25.84965035,53
5.05.2019,5,5,False,False,True,15.79929577,47
6.05.2019,5,6,False,False,False,20.8041958,54
7.05.2019,5,7,False,False,False,23.86013986,54
